variant,k,faithfulness,answer_relevancy,context_precision,context_recall,avg_latency_ms,n_questions
V1_Naive,3,0.3225,0.2275,0.2758,0.2667,48.0,100
V1_Naive,5,0.4035,0.2669,0.2829,0.2883,53.7,100
V1_Naive,10,0.4398,0.2172,0.2815,0.3317,51.5,100
V3_Reranker,3,0.3811,0.277,0.3308,0.2983,215.3,100
V3_Reranker,5,0.3593,0.2275,0.3104,0.3517,319.0,100
V3_Reranker,10,0.4627,0.2078,0.299,0.2383,781.1,100
V7_Hybrid,3,0.4309,0.3451,0.295,0.3683,916.9,100
V7_Hybrid,5,0.4759,0.2273,0.325,0.5067,1588.3,100
V7_Hybrid,10,0.4738,0.3063,0.2937,0.6575,3240.0,100
